Incident_ID,Agency,Offense,Street,City,State,Zipcode,Date_of_Report,Date_of_Occurrence,Date_Found,Reported_As,Premise_Description,Forcible,Weapon_Description,Victim_Age,Victim_Race,Victim_Gender,Latitude,Longitude,ObjectId,geometry
181897,CHPD,VEHICLE UNLOCK,100 LOUIS ARMSTRONG CT,CHAPEL HILL,NC,27514,1591359480000,1591359480000,1591359480000,PUBLIC SERVICE,RESIDENCE/HOME,N,NONE,57,B,F,35.947227,-79.047112,76420,POINT (-79.047112 35.947227)
181745,CHPD,OTHER VEHICLE THEFT,125 SCHULTZ ST,CHAPEL HILL,NC,27514,1590670200000,1590480000000,1590598800000,THEFT/LARCENY,PARKING/DROP LOT/GARAGE,<Null>,<Null>,<Null>,<Null>,<Null>,35.965214,-79.04837,76423,POINT (-79.04837 35.965214)
182648,CHPD,VEHICLE LOCKOUT,100 E ROSEMARY ST,CHAPEL HILL,NC,27514,1594406520000,1594406400000,1594406520000,PUBLIC SERVICE,PARKING/DROP LOT/GARAGE,Y,NONE,18,W,F,35.913223,-79.055756,76428,POINT (-79.055756 35.913223)
181946,CHPD,ASSIST CARRBORO PD K9 TRACK,200 NC 54,CARRBORO,NC,27510,1591570920000,1591570920000,1591570920000,BURGLARY/HOME I,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,35.911312,-79.092583,76450,POINT (-79.092583 35.911312)
182300,CHPD,VEHICLE FIRE,501 EDWARDS DR,CHAPEL HILL,NC,27516,1593020940000,1593020400000,1593020940000,VEHICLE FIRE,RESIDENCE/HOME,<Null>,<Null>,32,B,F,35.916157,-79.064873,76493,POINT (-79.064873 35.916157)
181716,CHPD,B&E    LARCENY F/VEHICLE,1000 DOGWOOD ACRES DR,CHAPEL HILL,NC,27514,1590589800000,1590348600000,1590349200000,THEFT/LARCENY,PARKING/DROP LOT/GARAGE,<Null>,<Null>,28,W,M,35.872366,-79.06918,76494,POINT (-79.06918 35.872366)
182410,CHPD,B&E    LARCENY F/VEHICLE,308 NEW PARKSIDE DR,CHAPEL HILL,NC,27516,1593514080000,1593450000000,1593513900000,THEFT/LARCENY,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK,N,<Null>,<Null>,W,M,35.956932,-79.06105,76531,POINT (-79.06105 35.956932)
181632,CHPD,B&E    LARCENY F/VEHICLE,333 W ROSEMARY ST,CHAPEL HILL,NC,27516,1590235380000,1590172200000,1590235380000,THEFT/LARCENY,PARKING/DROP LOT/GARAGE,<Null>,<Null>,20,W,F,35.911853,-79.061669,76555,POINT (-79.061669 35.911853)
181466,CHPD,LARCENY OF MOTOR VEHICLE,301 ASHLEY FOREST RD,CHAPEL HILL,NC,27514,1589553360000,1589486400000,1589553000000,THEFT/LARCENY,PARKING/DROP LOT/GARAGE,<Null>,NONE,26,B,M,35.944241,-79.057991,76557,POINT (-79.057991 35.944241)
182314,CHPD,CREDIT CARD/ATM FRAUD,828 MARTIN LUTHER KING JR BLVD,CHAPEL HILL,NC,27514,1593089760000,1593089760000,1593089760000,FRAUD OR DECEPT,SERVICE/GAS STATION,<Null>,NONE,60,W,M,35.926901,-79.052931,76558,POINT (-79.052931 35.926901)
182545,CHPD,B&E    LARCENY F/VEHICLE,501 CHURCH ST,CHAPEL HILL,NC,27516,1594029720000,1593864000000,1593990000000,BURGLARY/HOME I,PARKING/DROP LOT/GARAGE,N,<Null>,21,W,F,35.915974,-79.060554,76571,POINT (-79.060554 35.915974)
181742,CHPD,B&E    LARCENY F/VEHICLE,114 MELVILLE LOOP,CHAPEL HILL,NC,27514,1590665220000,1590634800000,1590663600000,THEFT/LARCENY,PARKING/DROP LOT/GARAGE,N,<Null>,35,B,F,35.947514,-79.016731,76572,POINT (-79.016731 35.947514)
181636,CHPD,SUSPICIOUS VEHICLE,110 UMSTEAD DR,CHAPEL HILL,NC,27516,1590241380000,1590068580000,1590241380000,SUSPICIOUS/WANT,PARKING/DROP LOT/GARAGE,<Null>,<Null>,44,W,M,35.925465,-79.054977,76613,POINT (-79.054977 35.925465)
181811,CHPD,B&E    LARCENY F/VEHICLE,803 EMORY DR,CHAPEL HILL,NC,27517,1590994200000,1590969660000,1590993900000,THEFT/LARCENY,PARKING/DROP LOT/GARAGE,<Null>,<Null>,63,B,M,35.926258,-79.013695,76620,POINT (-79.013695 35.926258)
181788,CHPD,B&E    LARCENY F/VEHICLE,100 SUMAC RD,CHAPEL HILL,NC,27517,1590845040000,1590838200000,1590845040000,THEFT/LARCENY,PARKING/DROP LOT/GARAGE,<Null>,OTHER,45,W,F,35.872425,-79.069191,76631,POINT (-79.069191 35.872425)
